Run ID,Model,Question ID,Sample,Prompt,Source CSV,CRUD Operation,Score,Metrics,Tool Calls,Tools Used,Input Tokens,Output Tokens,Error
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,0,1,Create a door with the size of 2 by 1 meters in the wall with id 2UsXAbj6n0fwEWqdkVuHvf.,all_questions.csv,create,0.0,"{""object_exists"": false, ""right_location"": false, ""right_dimensions"": false, ""integrity_constraint"": false}",3,execute_ifc_code,12535,4335,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,1,1,"Create a slab with dimensions of 10 by 5 meters and the width of 20 centimeters with its bottom and center in (-30, 0).",all_questions.csv,create,0.5,"{""object_exists"": true, ""right_location"": false, ""right_dimensions"": false, ""integrity_constraint"": true}",1,execute_ifc_code,3336,2744,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,2,1,Add an opening of size 5 by 5 meters to the center of the slab with id 11kJIqz$n2Jf_DfJV1SCVP.,all_questions.csv,create,0.75,"{""object_exists"": true, ""right_location"": false, ""right_dimensions"": true, ""integrity_constraint"": true}",5,execute_ifc_code,16286,4660,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,3,1,"Insert a column with the height of 3m in (12, 8).",all_questions.csv,create,0.75,"{""object_exists"": true, ""right_location"": true, ""right_dimensions"": false, ""integrity_constraint"": true}",2,execute_ifc_code,5760,2039,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,4,1,"Add a wall with a length of 15m beginning in (0, -10).",all_questions.csv,create,0.5,"{""object_exists"": true, ""right_location"": false, ""right_dimensions"": false, ""integrity_constraint"": true}",2,execute_ifc_code,7443,3825,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,5,1,Provide the area in square meters of the room with id 2UsXAbj6n0fwEWqdkVuHyo.,all_questions.csv,retrieve,1.0,"{""right_answer"": true}",6,execute_ifc_code,15889,3799,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,6,1,Take off the length in meters of the wall with id 22hyxvAPr65PFt9WZfHSKC.,all_questions.csv,retrieve,1.0,"{""right_answer"": true}",6,execute_ifc_code,14684,2897,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,7,1,Provide the volume in cubic meters of the room with id 2UsXAbj6n0fwEWqdkVuHyo.,all_questions.csv,retrieve,1.0,"{""right_answer"": true}",5,execute_ifc_code,9480,2454,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,8,1,"Provide the distance in meters, center to center, of the columns with ids 22hyxvAPr65PFt9WZfHSMr and 22hyxvAPr65PFt9WZfHSMu.",all_questions.csv,retrieve,1.0,"{""right_answer"": true}",3,execute_ifc_code,5001,1578,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,9,1,Provide the global id of the wall that has a length of 5m.,all_questions.csv,retrieve,1.0,"{""right_answer"": true}",6,execute_ifc_code,22713,3418,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,10,1,Rotate the wall with id 22hyxvAPr65PFt9WZfHSP3 by +90 degree around the z axis.,all_questions.csv,update,0.0,"{""right_location"": false, ""right_dimensions"": false}",2,execute_ifc_code,4788,3474,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,11,1,Move the door by one meter in direction of x in the wall with id 11kJIqz$n2Jf_DfJV1SDYu.,all_questions.csv,update,0.3333333333333333,"{""right_location"": true, ""right_dimensions"": false, ""integrity_constraint"": false}",3,execute_ifc_code,5040,1537,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,12,1,Increase the height by 0.5 meters of the window with id 11kJIqz$n2Jf_DfJV1SDbS.,all_questions.csv,update,0.0,"{""right_location"": false, ""right_dimensions"": false, ""integrity_constraint"": false}",3,execute_ifc_code,4193,1282,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,13,1,Decrease the height by 0.5 meters of the slab with the id 11kJIqz$n2Jf_DfJV1SCVP.,all_questions.csv,update,0.0,"{""right_location"": false, ""right_dimensions"": false}",7,execute_ifc_code,27838,8086,True
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,14,1,Move the column eith id 22hyxvAPr65PFt9WZfHSMu by -3 meters in direction of y.,all_questions.csv,update,0.0,"{""right_location"": false, ""right_dimensions"": false}",1,execute_ifc_code,1451,741,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,15,1,Delete the column with the id 22hyxvAPr65PFt9WZfHS2x.,all_questions.csv,delete,1.0,"{""object_not_exists"": true, ""integrity_constraint"": true}",1,execute_ifc_code,1022,327,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,16,1,Remove the door with id 11kJIqz$n2Jf_DfJV1SDY7.,all_questions.csv,delete,0.5,"{""object_not_exists"": true, ""integrity_constraint"": false}",1,execute_ifc_code,1012,316,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,17,1,Delete the opening with id 0APGbZXNKfgPNB$VQQZ0pi.,all_questions.csv,delete,0.5,"{""object_not_exists"": true, ""integrity_constraint"": false}",1,execute_ifc_code,1027,338,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,18,1,Remove the wall with id 2UsXAbj6n0fwEWqdkVuHyn.,all_questions.csv,delete,0.5,"{""object_not_exists"": true, ""integrity_constraint"": false}",1,execute_ifc_code,1025,335,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,19,1,Take out the room with id 2UsXAbj6n0fwEWqdkVuHyo.,all_questions.csv,delete,0.5,"{""object_not_exists"": true, ""integrity_constraint"": false}",1,execute_ifc_code,985,302,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,20,1,Create a slab that has a width of 0.2m and is placed on the upper outer edges of the four columns in the IFC file,all_questions.csv,create,1.0,"{""object_exists"": true, ""right_location"": true, ""right_dimensions"": true, ""integrity_constraint"": true}",4,execute_ifc_code,14363,4686,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,21,1,Create a column in the centroid of the four walls in this IFC file,all_questions.csv,create,1.0,"{""object_exists"": true, ""integrity_constraint"": true, ""right_location"": true, ""right_dimensions"": true}",4,execute_ifc_code,23650,7146,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,22,1,"Add a door to the wall that is north (+Y direction) of the wall with GlobalId = ""3YQ$1CPXD2Mh2vQ18vV$hw""",all_questions.csv,create,0.0,"{""object_exists"": false, ""integrity_constraint"": false, ""right_location"": false, ""right_dimensions"": false}",6,execute_ifc_code,27652,7385,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,23,1,"Insert a room (IfcSpace) to the area that is left of the column with GlobalId = ""3A5GfH23DBvBYpavCfWh4z""",all_questions.csv,create,0.0,"{""object_exists"": false, ""integrity_constraint"": false, ""right_location"": false, ""right_dimensions"": false}",3,execute_ifc_code,8143,2703,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,24,1,"Create a wall with a length of 5m starting at point (10,5) pointing to direction (1,0)",all_questions.csv,create,1.0,"{""object_exists"": true, ""integrity_constraint"": true, ""right_location"": true, ""right_dimensions"": true}",3,execute_ifc_code,13350,3850,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,25,1,Provide length (longest side) in meters of the room that does not have the shape of a square,all_questions.csv,retrieve,0.0,"{""right_answer"": false}",7,execute_ifc_code,29796,5770,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,26,1,Provide id of the wall that is the shortest,all_questions.csv,retrieve,1.0,"{""right_answer"": true}",2,execute_ifc_code,3624,1813,False
run_2026-01-26_16-16-15,google_genai:gemini-3-flash-preview,27,1,Provide the distance between the longest walls in meters,all_questions.csv,retrieve,0.0,"{""right_answer"": false}",5,execute_ifc_code,20872,5149,False
